param_id,name,symbol,units,value,uncertainty_type,uncertainty_value,subsystem,source_tier,citation,doi,extraction_method,species,entered_by,date_entered,notes
BF.TBW.MASS_FRACTION,Total body water as fraction of body mass,f_TBW,unitless,0.552,sd,0.062,body-fluids,A,Zhang N et al. Association between the content of intracellular and extracellular fluid and the amount of water intake among Chinese college students. PMC6751809.,PMC6751809,reported,human,sprint1,2026-08-08,"Reported as 55.2 +/- 6.2 percent of body weight by bioelectrical impedance, n=159 young adults. NOTE this is below the conventional textbook 60 percent; BIA and isotope dilution disagree systematically and the cohort is young Chinese adults. VERIFY against a second population before relying on it. Candidate cross-check: ICRP 89."
BF.ICF.MASS_FRACTION,Intracellular fluid as fraction of body mass,f_ICF,unitless,0.344,sd,0.040,body-fluids,A,Zhang N et al. PMC6751809.,PMC6751809,reported,human,sprint1,2026-08-08,"34.4 +/- 4.0 percent of body weight, same cohort and method as BF.TBW.MASS_FRACTION. Consistency check: ICF + ECF = 55.2 which matches TBW as reported."
BF.ECF.MASS_FRACTION,Extracellular fluid as fraction of body mass,f_ECF,unitless,0.208,sd,0.023,body-fluids,A,Zhang N et al. PMC6751809.,PMC6751809,reported,human,sprint1,2026-08-08,"20.8 +/- 2.3 percent of body weight, same cohort and method. Sums with ICF to TBW."
BF.ECW.QUANTILE_REFERENCE,Extracellular water reference distribution source,-,unitless,1.0,none,,body-fluids,A,Extracellular water across the adult lifespan: reference values for adults. Physiol Meas 2007;28(5).,10.1088/0967-3334/28/5/004,reported,human,sprint1,2026-08-08,"MARKER ROW - not a value. n=1538 multi-ethnic adults, ECW from isotope dilution and whole-body 40K counting, conditional quantile equations by weight height age sex race. This is the better source for a POPULATION DISTRIBUTION than any point estimate and should replace the BIA-derived fractions above once the equations are extracted. Extraction blocked: full text not retrieved."
BF.NA.PLASMA_SETPOINT,Plasma sodium concentration setpoint,C_Na,mEq/L,140.0,range,135-145,body-fluids,B,Standard clinical reference interval.,,reported,human,sprint1,2026-08-08,"VERIFY - clinical reference range, needs a citable primary source. Widely reproduced but traced here only to convention."
BF.OSM.PLASMA_SETPOINT,Plasma osmolality setpoint,Osm_p,mOsm/kg,287.0,range,275-295,body-fluids,B,Standard clinical reference interval.,,reported,human,sprint1,2026-08-08,VERIFY - as above. Needed to close the osmotic equilibration between ICF and ECF.
BF.NA.OSMOTICALLY_INACTIVE_FRACTION,Fraction of total body sodium stored osmotically inactive,f_NaStore,unitless,0.15,none,,body-fluids,B,Rakova N et al. Long-term space flight simulation reveals infradian rhythmicity in human Na+ balance. Cell Metab 2013;17(1):125-131.,10.1016/j.cmet.2012.11.013,assumed,human,sprint1,2026-08-08,"ASSUMED PLACEHOLDER. Rakova et al establish that total-body Na+ is stored and is NOT a simple function of salt intake, and that total-body Na+ and extracellular water are not tightly coupled. They do not report a single storage fraction. This value is a placeholder to make the third compartment functional and MUST be replaced by estimation against the Mars500 balance series. See ADR 0004."
BF.NA.SKIN_ACCUMULATION_RATE,Skin sodium accumulation with age,dNa_skin,mmol/(L*year),0.34,sd,0.07,body-fluids,A,"Titze J et al, 23Na MRI at 7.0 Tesla, n=17 men. Reported in Rakova N, Sodium Balance (dissertation), Freie Universitaet Berlin.",,reported,human,sprint1,2026-08-08,Described by the source as preliminary in vivo data. Not used in the current model - recorded because it constrains the storage compartment on long horizons and will matter if the model is ever run across decades.
BF.NA.INTAKE_NOMINAL,Dietary sodium intake nominal,Na_in,mEq/day,205.0,none,,body-fluids,A,Rakova N et al. Cell Metab 2013;17(1):125-131.,10.1016/j.cmet.2012.11.013,derived,human,sprint1,2026-08-08,"DERIVED from the Mars500 protocol salt level of 12 g/day NaCl. 12 g NaCl / 58.44 g/mol = 205 mmol Na. Protocol levels were 12, 9 and 6 g/day held for 30-60 days each. Use these three as the validation step inputs, not a free parameter."
BF.NA.INTAKE_MID,Dietary sodium intake middle protocol level,Na_in_9,mEq/day,154.0,none,,body-fluids,A,Rakova N et al. Cell Metab 2013;17(1):125-131.,10.1016/j.cmet.2012.11.013,derived,human,sprint1,2026-08-08,DERIVED from 9 g/day NaCl protocol level. 9 / 58.44 = 154 mmol.
